닉네임,댓글,좋아요수,날짜
으앙힝힝,사배님은 항상 설명도 친절하게 해주시고 특히 커버메이크업 하실때 커버메이크업 하시는 분(?)의 생김새나 장점을 예쁘게 말해주시는거 보면서 느끼는건데 마음 자체가 되게 이쁘신분 같아요!! 그리고 영상 자막배경이나 글씨체도 메이크업 분위기에 맞춰서 바뀌어서 영상 자체에 집중하게 되는 것 같습니다! 사배님 너무 이쁘시고 친절하시고 대단하신거 같아요!! 그리고 항상 열일하시는 편집자님들도 대단하세요!! 항상 좋은 영상 올려주셔서 감사합니다 사배님 !!❤️❤️,7개,2020. 5. 14.
집수니이윤정,"오잉 재업?! 진짜 민니보다 민니같아요 메이크업도 메이크업인데 스타일링 구현이 판박이,,표정도",18개,2020. 5. 14.
JiShin,와 진짜 요즘 이 메이크업이 너무 궁금해서 막 뮤비짤도 찾아보고 있었는데 너무 감사해요 ㅠㅠㅠㅠ 진짜 찰떡같이 feel이 통해서 너무 행복합니다 크으 사배님 너무 죠아>_<~☆,33개,2020. 5. 14.
EunjiLim,어제 왜 지워졌나요ㅠㅠㅜㅜ 너무 기다렸어요,12개,2020. 5. 14.
솜사탕슬하,"언니!!언니!! 이러시면 저 심쿵사하는데......
신동사2 내기니, 디즈니 공주 사배언니 ver. 그리고 부부의세계 한소희님  메이크업 궁금해요!! 💜",13개,2020. 5. 14.
성이,싱크로율 미쳣땅.. 이뻐요!,16개,2020. 5. 14.
정은주,언니.... 저 어제 일찍 와서 댓글 달았는데 없어져서ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 그래두 한 번 더 볼게요ㅠㅠㅠ 넘 이뻐용ㅠㅠㅠㅠ ❤❤❤❤❤❤❤❤,13개,2020. 5. 14.
violet,진짜 민니 머리 따라하는거 쉽지않은데 대단하다..,8개,2020. 5. 14.
,뭐야 미쳣다 아무생각없이 내리다가 채널명보고 화둘짝후다닥들어옴,11개,2020. 5. 14.
낑자라,저 그동안 이 영상 여자아이들 유투브에서 올라온줄 알았어요..... 대박,7개,2020. 5. 14.
수진,"모야모야 앞머리 너무 귀엽잖아 ㅜㅜ
의상이나 헤어나 메이크업이나 다 똑같아👍❣",4개,2020. 5. 14.
김님,젭알 예쁜척 하는 부분을 많이많이 늘려주세용 ㅠㅠㅠㅠㅠㅠ으어어어엉,4개,2020. 5. 14.
캡틴구름,언니는 진짜 예술가야.......,3개,2020. 5. 14.
지혜,와 대박 ㅠㅠㅠㅠㅠㅠㅠㅠ 민니 쎈화장이 너무 찰떡이라 나도 급땡겨서 찾아봤는데 민니 커버 메이크업 영상은 진짜 별로 없었어요ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 근데 ㅠㅠㅠㅠㅠㅠㅠ 근데ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 올려주셨어ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 사배님 최고ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,2개,2020. 5. 14.
Lilyurim,"I see minnie and risabae,  just click it asap😍",3개,2020. 5. 14.
호경,와 언니 그냥 금손이라고 하기에는 너무 잘하는데요 ... 😭,6개,2020. 5. 14.
또니떠니,와.... 진짜 오마이갓이다 진짜 대박이다 ㅋㅋㅋㅋㅋ,6개,2020. 5. 14.
김지윤,이거 썸넬 처음에 보고 지금 보니까 되게 민니님 닮으셨네 라고 생각했는데 영상 첫부분 보고 아 진짜 민니님인가?했는데 알고보니 진짜 사배님이셨던..ㅋㅋㅋ 되게 닮으셨어요!,1개,2020. 5. 14.
이다니,세상에 진짜 언니 oh my god!!,2개,2020. 5. 14.
만서,저 진짜 인스타에서 봤을때 아이들계정인줄알았어요ㅠㅠㅠㅠ 진짜 미쳤어요ㅠㅠㅠ♥️♥️,3개,2020. 5. 14.
모기생제르망,이언니는 진짜 대박이다.,3개,2020. 5. 14.
댓글러,진짜 말 그대로 ‘ OH MY GOD ‘ 이다 ㅠㅠㅠㅠㅠㅠㅠㅠ,1개,2020. 5. 14.
,대박 놀래섴ㅋㅋㅋ깜놀ㅋㅋㅋㅋㅋㅋㅋㅋ미쳤다,3개,2020. 5. 14.
김민,사배언니 진짜 화장 너무 잘하고 너무 예뻐요ㅜㅜ 근데 대박인것이 썸네일은 레드벨벳 조이님 닮으셨어영ㅇ:0,3개,2020. 5. 14.
정서영,민니님이잖아. 와 너무 닮았어 ㅠㅠ!,5개,2020. 5. 14.
뀨,"2:20 밀릴 뻔한 눈썹이들😥ㅋ 
커버 메이크업도 좋지만 사배님도 소중하니깐 선택 잘 했습니다😃👏👏👏 정말 이번에도 킹왕짱!💖👍",2개,2020. 5. 14.
피이치,와 제발 해달라고 댓 많이 달앗은데 ㅠㅠㅠ 드뎌민니퓨ㅠㅠㅠㅠㅠ 사랑해여,2개,2020. 5. 14.
,"헐대박..ㄷㄷㄷㄷㄷㄷ
진짜 민니인줄알고 들어옴ㄷㄷㄷ헤어뭐양ㅠㅠㅠ
진짜 대단함요💓",1개,2020. 5. 14.
마이노랗네,0:07 아 진짜 닮았어요ㅠㅠㅠㅠ  쩐담쩐다,0개,2020. 5. 14.
준화,우왕ㅋㅋ썸네일 미쳤엌,0개,2020. 5. 14.
xoxo,"She did LION, and now she's doing OMG as well ! 
She's really talented, you can see it from looking at how well she  recreated these iconic looks, two totally different concepts but she nailed both of them",1개,2020. 5. 14.
,"OMG, I really didn't realize the opening show is played by herself. this is amazing.",0개,2020. 5. 14.
쿨쿨,옴걸 유아 메이크업도 한 번 해주세요ㅠㅠㅠ! 체리도 소화가 되실지 궁금합니다!,0개,2020. 5. 14.
김찬희,미친 너무좋아 민니 말고 미연을 원했지만 그래도 아 진짜ㅏㅏㅏㅠㅠㅠ미친거 아니냐 사배누나,0개,2020. 5. 14.
뷰뷰뷰,사배님은 커버 메이크업 예술을 하는 느낌이에요ㅠㅠ 진짜 메이크업으로 마술하는 느낌😍,0개,2020. 5. 14.
이루,부부의세계 한소희님 메이크업 해주세요..!!!,2개,2020. 5. 14.
또체리,썸넬만보고 오마이갓 음원인줄 알고 들어왔는데... 진짜 너무 똑같아요❤❤❤,0개,2020. 5. 14.
이보경,"와..어떻게 저렇게 잘하지..? 엄청 분석하고 
노력 했겠다 그냥 대충대충 넘어갈 수 있는 부분도 세세하게 하나하나 신경쓰는거 대박..",1개,2020. 5. 14.
bbi,언니 너무 예뻐요ㅠㅠㅠ 영상 올리실때마다 이 얘기하는데 매번 감탄해서 ㅠㅠ,0개,2020. 5. 14.
코튼,이 언니 왠지 윤훼이도 할 수 있을 것 같다.. 후덜덜,0개,2020. 5. 14.
예지,와 미쳤따 아니 사배님 너무 애정합니다ㅠㅠㅠㅠㅠ💗💗,0개,2020. 5. 14.
Babapapa,부부의 세계 여다경 메이크업 보고싶어요ㅠㅠ,0개,2020. 5. 14.
헴찌햄찍,사베님!!진짜 부탁인데요ㅠㅠ 제가 블랙헤드가 심한편인데 사베님은 블랙헤드를 관리 히시나요?ㅠ 어떻게 하시는지 너무 궁금해요!!너무 깨끗하셔서 너무 궁금해요ㅠㅠ!!!,1개,2020. 5. 14.
,와대박 디테일 너무 잘살리시고 민니 커버 메이크업 해주셔서 감사해요🥰🥰,1개,2020. 5. 14.
곤듀태영,민니님도 닮았는데 왜 볼수록 정은지님도 생각나는거지..,1개,2020. 5. 14.
오모가사리,오마이걸 유아님도 진짜 독특한 마스크셔서 커버메이크업 보고싶어요 !!!!!!!!!!!,0개,2020. 5. 14.
lE,언니 역시 너무 이뻐여ㅠㅠ,0개,2020. 5. 14.
블우BULU,이사배님 있지 리아 커버 메이크업도 해주세요ㅜㅜ,1개,2020. 5. 14.
젤리,와 썸네일 ㄹㅇ 민니 닮아서 와 이 유튜버는 요즘 뜨는 뷰튜번가?? 했는데 와 사배언니였어... 진짜 사배언니 하나도 안닮아서 깜짝놀람...,0개,2020. 5. 14.
themostuwugirl,You are so talented!!! Love it🤍🤍🤍🤍,0개,2020. 5. 14.
Park샘,장원영 메이크업 궁금해욬ㅋㅋㅋㅋㅋ,0개,2020. 5. 14.
sayalizaware,"Omg thank you so much for doing this...
U look gorgeous ❤️",0개,2020. 5. 14.
바악소혀언,"언니 너무 멋있는거 아니예요ㅠㅠㅠ!!!
이래서 사배언니 정말 좋아합니다아ʕ•ᴥ•ʔ",0개,2020. 5. 14.
내눈을봐라바,썸내일 내 눈을 의심...진짜 민늬인줄알고,0개,2020. 5. 14.
지니JINI,"영상 처음에 말하실때 눈이 졸려보여서
말하시면서 표정연기하시는줄알았는데
쌍테때문이였음ㅋㅋㅋㅋㅋㅋㅋㅋ",0개,2020. 5. 14.
박주연,어제 영상올라온거봤는데 없어져서 당황했어욬ㅋㅋㅋㅋㅋㅋ,0개,2020. 5. 14.
손손,와 진짜 금손이세요...오마이걸 유아 커버 메이크업도 해주세요 사배님ㅜㅜㅜ,0개,2020. 5. 14.
landmomo,내리다가 헉 민니...? 하고 봤는데 사배님이야ㅠㅠㅠ 넘 쩔어요 미연이 메이크업두 보고 싶어여 찰떡일듯...,0개,2020. 5. 14.
윤쿙,여다경 커버메이크업 보고싶어요ㅠㅜ,0개,2020. 5. 14.
엽공주,다시 영상 올라왔네요~~뭔일인가 했어요 ㅋㅋㅋ 다시봐도 좋아요~~역시 금손~~,0개,2020. 5. 14.
티비엔즐거움의시작,이사배님 채널에 민니님이 나오시다니!!ㅠㅠㅠ근데 사배언니는 어딨어요?? 계속 민니님만 나오시네요오..,0개,2020. 5. 14.
이아라,아이유 에잇 메이크업 해주세요ㅠㅠㅠ,0개,2020. 5. 14.
진세윤,"언니 진짜 오늘도 최고에여,,,,,,,,,,,ㅠㅠㅠㅠ
전부터 항상 오른손으로 메이크업하시구 좌우반전해서 영상 만드시는거 같던데 다음엔 왼손으로 메이크업 하는 영상 보고싶어요 !!!♥♥♥♥♥",0개,2020. 5. 14.
콕콕,진짜 눈이 특히 똑같아요!!!,2개,2020. 5. 14.
NEVERLANDIm,네버랜드로써 너무너무 커버메이크업 잘하세요ㅠ 역시 금손😀,0개,2020. 5. 14.
러바,언니가 다해ㅜㅠㅠㅠ 이미 다하고 있네?,0개,2020. 5. 14.
MoncherJ,메타몽이신가 ㅋㅋㅋ 똑같이 하시네여 항상 ㅋㅋㅋㅋㅋ 저 대륙여신 판빙빙 메이크업 보고싶어용 ㅋ 의외로 없어용,0개,2020. 5. 14.
0200,언니 어제 영상 다 봤는데 없어져서 놀랬어요 ㅠㅠ 저번에 인스타 보고 깜짝 놀래서 뜨자마자 달려와서 봤습니당 ㅠㅠㅠㅠㅠ,0개,2020. 5. 14.
뽐뽐,와 썸네일보고 민니랑 똑같다고 생각하고 사배님이라고는 정말 생각 못했는데 와 진짜 대박이야ㅠㅠㅜ,2개,2020. 5. 14.
조예원,언니 이유비 메이크업 지우샸나요??ㅜㅜ 안보여서요ㅠㅠㅠ,0개,2020. 5. 14.
,사배님 여자아이들 미연이랑 닮으셨어요 ㅠㅜㅜ 그래서 미연메이크업하면 완전 존똑일듯...ㅜㅜㅜ,0개,2020. 5. 14.
catnisHan,아 예뻐ㅠㅠㅠㅠ,0개,2020. 5. 14.
몽그리,이사배님 우리 민니 너무너무 예쁘게 똑같이 스타일링 해주셔서 감사합니다💛💛 민니 언니 이 영상 보면 정말 좋아할 거 같아요🥰,0개,2020. 5. 14.
김수민,진짜 너무 닮았어요...  민니 메이크업 하는거 꼭 보고 싶었는데 해주셔서 너무 감사합니다❤‼,0개,2020. 5. 14.
서수진이나라다,와 역시 믿고 보는 그녀 삼백안 너무 좋아하고 민니 메이크업 영상도 별로 없고 다 안 비슷해서 누군가 나오길 기다렸는데 사랑합니다,0개,2020. 5. 14.
채연,8:32 이때부턴 그냥 민니 얼굴이 보여..너무 신기해,0개,2020. 5. 14.
김나연,뭐야... 썸네일 보고 이분 누구지... 진짜 민니인가... 햇더니 갓사배님이엿서.... 갓사배님...... 뷰티를 찢어놓으셨다하....!!!!!!,0개,2020. 5. 14.
,와 진짜 민니인줄ㅜㅜ,0개,2020. 5. 14.
훨랠래랠래래워어어어엉,그 부부의 세계 여다경 초반부 갈색 머리 메이크업 해주세여 근데 진짜 닮을 것 같음,0개,2020. 5. 14.
운성,와 약간 핫펠트(예은) 메이크업하셔도 되게 찰떡같이 어울리실거같아요..,0개,2020. 5. 14.
선우,내가 저런 얼굴로 딱 하루라도 살고싶다ㅜㅜㅜㅜ,0개,2020. 5. 14.
빰빰,썸넬 민니 커버 메이크업한 한예슬같아......정말 신기하고 아름다웡,0개,2020. 5. 14.
쪼크,인스타에서 보고 기다렸어요 ㅠㅠㅠㅠㅠㅠㅠㅠ 디테일 하나하나 최고야 짜릿해,0개,2020. 5. 14.
FREEKASHMIR,"I loved Minnie's makeup, thank you for doing this!",1개,2020. 5. 14.
정연주,언니 좀 더 뽐내주세요ㅜㅜㅠㅜㅜ,0개,2020. 5. 14.
지연,왓ㅠㅠㅠ 사배언니 알라뷰,0개,2020. 5. 14.
블랙,"사배님은 봐도 봐도 적응이 안돼..
볼때마다 놀라워...진짜 금손....매번 영상이 레전드를 달리시네요",0개,2020. 5. 14.
동글,있지 채령 워너비 메이크업도 해주세요ㅠㅠ,0개,2020. 5. 14.
최예나,"진짜 언니 완전 비슷해요ㄹㅇ,, 짱이다",1개,2020. 5. 14.
수연,맨처음에 쓰신 파운데이션 브러쉬 저 사서쓰고 있는데 너무 좋아요ㅠㅠㅠ 인생브러쉬ㅜㅜ,0개,2020. 5. 14.
이름수정,사람들 이사배님인거 모르고 그냥 넘길듯 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 딴 사람인줄,0개,2020. 5. 14.
얌주주,민니 졸래리 좋아하는데 언니가 해줘서 너무 좋아요 ㅜㅜ!!,0개,2020. 5. 14.
영이,언니 더분 쌍테 판매중단 됐던데 어떻게 구하셨나요ㅠㅠ,0개,2020. 5. 14.
미마,썸네일은 평소에 커버하던것보다 덜 닮아서 별 기대 안하고 들어왔는데 와 처음 3 4초보고 미친 육성으로 나왔다,0개,2020. 5. 14.
이로런,아니 진짜 신기해....어떻게 저렇게 변할수있는거야.....,0개,2020. 5. 14.
,진짜 너무 똑같아요!! 멋있어요ㅠ,1개,2020. 5. 14.
cg,Your tutorials are so cool!💕,2개,2020. 5. 14.
이가희,오늘도 예쁜 울 언닝!!!비비님 메이크업 보고싶어요!!!🥺❤️🥺❤️🥺❤️젭알 부탁합니당🥺😭💕💕,1개,2020. 5. 14.
FlorenceRyu,언니... 진짜 오마이갓...,1개,2020. 5. 14.
김민서,"와 나 그냥 민니 뭐 찍은 줄 알고 넘겼는데,,, 사배님이었어ㅠㅠㅠㅠ",0개,2020. 5. 14.
성재,수진님도부탁해요ㅠㅠ,0개,2020. 5. 14.
나은,영상 없어졌길래 뭔 일인지는 모르겠지만 잉 뭐지하고 슬퍼하고 있었는데ㅠㅠ 너무 똑같자나 언니 사랑해요ㅠㅠ,0개,2020. 5. 14.
쀼뀨뿌뀨빵,언니... 마스크 써도 최대한 안번지는 피부 메이크업 해주세요... 최강촬떡같이 붙어있는 메이크업...,0개,2020. 5. 14.
박채린,디테일 완전 대박...아이유 에잇 메이크업 보고싶어요:) 이사배님한테 잘 어울리실것 같아요!!,0개,2020. 5. 14.
김혜영,사배님 여다경(한소희)님 메이크업 해주세요 제발여~~~~,80개,2020. 5. 7.
나응,13:00 아 웃음지룈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이게뭐냐구욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,106개,2020. 5. 7.
지원이,"9:09 와 브러시 탁탁 소리 좋아하는 거 이해 안된다면서도 브러시 털어주던 사배언니 초창기 모습 생각나요ㅠㅠㅠ 비록 이어폰은 못끼지만 그랬던 사배님이 이렇게 ASMR을 해주다니!,!!! 오래 구독하고 볼일이네요ㅎㅎ",223개,2020. 5. 7.
신날치Shinnalchi,왜 옷처럼 괴상요란한 물건이 나올거 같아 기대하면서 누르는 나😀,132개,2020. 5. 7.
아소일,"썸넬부텈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ정신이 혼미
13:12 흡사 재롱잔치...?ㅋㅋㅋ 귀여워ㅠㅠㅜ",96개,2020. 5. 7.
화랑이,13:05 직원들 앞에서 재롱잔치하는 대표님....,80개,2020. 5. 7.
시리얼엔우유,"언니 요즘 왜 깡버 안해요??
깡버해주세요!! 진짜 맨날 돌려봐요ㅋㅋ",80개,2020. 5. 7.
lotus00,12:42 식겁했넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 편집자님 센스 항상 감탄합니다.. 예고 없었다면 두 배로 놀랐을 듯... 아~!~!↗️↗️↗️(이어폰 뽑) 찐찐찐찐 찐이야~~~~~ 완전 찐이야~~~~↗️↗️↗️↗️🗣🗣🗣🗣🗣,46개,2020. 5. 7.
혜린,"7:51 자기가 깨물고 ㅇㅁㅇ 표정으로 놀라는 거 넘호 귀엽짜나욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ asmr 답답하다면서 소리는 다 들려주는 그녀,,,, 체고야,,,,",68개,2020. 5. 7.
조희은,13:15 다같이 오 해주고 박수쳐주는거 왤케웃기짘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,40개,2020. 5. 7.
머륭,가방에 뭐가 있을까?! (궁금!!) 보다는 오늘은 어떻게 개그를 치실까?!! (기대!!) 이런 느낌으로 들어오게되어요^^,66개,2020. 5. 7.
아잉뿌잉,4:29 아 뜬금없이 귀여워 ㅋㅋㅋㅋㅋㅋㅋ,27개,2020. 5. 7.
우졍우졍,"마이크성능 무엇입미까 사배님,,,, 목소리 너무 예뻐요
9:09 네ㅠㅠㅜㅜㅜ좋아해요유ㅠㅜㅜㅜㅜㅜ",68개,2020. 5. 7.
haein,학원에서 10 초씩 넘겨보기 하다가 속순썹 선구리가 가방에서 나온줄 알고 깜짝 놀랬어요 ㅋㅋㅋ ㅠㅠ,50개,2020. 5. 7.
mine7h,사배언니!!!민니 커버메이크업 왜 업로드 취소 하셨나요???보고 싶은데...,16개,2020. 5. 7.
꾸꾸라라KukuLala,메이크업 asmr도 해주세여!!!,24개,2020. 5. 7.
이성경,아니 언니 썸네일 뻐큐한줄알고 들어왔자나여ㅋㅋㅋㅋㅋ큐ㅠㅠㅠㅠㅠㅠㅠㅠ,21개,2020. 5. 7.
허버허버,이거 이어폰 안껴도 팅글 폭발인데 부분부분 벌칙 수행이나 마지막 부분만 편집해서 1시간 분량으로 내주시면 안될까요?ㅜㅜ,35개,2020. 5. 7.
아부라카다부라,"에드 하디,모자는 없지만 보드복이 있다는...뒤에 해골이 똭! 엄청 간지나는데 ㅋㅋㅋ유행이 다시 올때까지 보드는 잠시 접겠쒀여.",60개,2020. 5. 7.
정은주,"8:24 8:24 8:24
8:24 8:24 8:24

아닠ㅋㅋㅋㅋ 이어폰으로 듣고 있다가 진짜 찐으로 뿜었잖아욬ㅋㅋㅋㅋㅋㅋㅋ😏😏😏😏😏",36개,2020. 5. 7.
화랑이,오늘은 또 대체 어떤 엄청나고 당황스러운 영상일지...한 번 버텨보겟습니다...,39개,2020. 5. 7.
와랄롤,"Asmr로 하실 생각을 하다니.! 기똥찹니다 아주 좋습니다
6:34  이부분 소리 너무 좋아요💍",9개,2020. 5. 7.
알퐁제이,asmr 아니고 그냥 작게 말하기ㅋㅋㅋㅋㅋ  귀엽고 소란스런 사배씨,6개,2020. 5. 7.
취뽀성공,"엄잠후 패러딘가요 ㅋㅋㅋㅋ
그런데 언니 요새 왜 리얼리사배 업로드가 중단된건가요??그리워요😭",27개,2020. 5. 7.
김오레오,6:26 킁킁소리 머이리 귀여운데요ㅠ 사랑해 이사배!!!!,17개,2020. 5. 7.
이다은,"이어폰 끼지 말라는 ASMR이라니ㅋㅋㅋㅋ
처음이야 신선하네요ㅋㅋㅋㄱㅋㅋ
언니 너무 귀여워요ㅠ",17개,2020. 5. 7.
셩,Asmr 요청하신분 후회하고 계신가요? 그렇다면 당근을 흔들어주세요,7개,2020. 5. 7.
하늘,근데 진짜 언니 입소리좋은데ㅠㅠ 언니 에쎄말 재능있아요ㅠ 제대로 각잡고 찍어주세요오 ♥️,9개,2020. 5. 7.
곽정숙,13:09 이 모자 너무 가지고싶은데 구매링크 알 수 있을까요?,4개,2020. 5. 7.
PriyaS,"Your voice is so perfect for asmr 😍 ! Thank you for eng sub as always, I look forward to your videos every week 💕 love from London 😊",6개,2020. 5. 7.
lilalala,언닠ㅋㅋㅋㅋ 언니는 왜이렇게 인간이 소란스러운거얔ㅋㅋㅋㅋㅋㅋ 귀여워죽게따...,2개,2020. 5. 7.
심하림,그래서 가방에 뭐가있다고요...?ㅋㅋㅋㅋㅋ,3개,2020. 5. 7.
조유네,오...엄잠후 같다!! 엄마가 잠든 후에 패러디인가요?????ㅋㅋㅋㅋㅋㅋ,5개,2020. 5. 7.
찬히,사배님 이어폰 좌우 반대로 끼셨어요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,5개,2020. 5. 7.
이한별,언니💜💜💜💜 asmr에서도 상큼발랄이 느껴지네요 ㅋㅌㅋㅌㅋ 재밌게 볼게요 사랑해욤🥰🥰🥰,8개,2020. 5. 7.
